id,location_clean,title_cat_ChatGPT,seniority_level_5,days_online_grouped,job_type,tech_stack
1540,Köln,Data Consultant,Associate/Mid-Level,15-21,Full-time,-
1541,Weeze,Business Intelligence (BI),Associate/Mid-Level,15-21,Full-time,Python
1542,Braunschweig,Business Intelligence (BI),Associate/Mid-Level,15-21,Full-time,Python
1543,Hamburg,Other,Associate/Mid-Level,22-28,Full-time,-
1544,Berlin,Other,Associate/Mid-Level,22-28,Full-time,Python
1545,Karlsruhe,Data Engineer,Entry level,15-21,Full-time,-
1546,Bremen,Business Intelligence (BI),Associate/Mid-Level,15-21,Full-time,-
1547,Wiesbaden,Other,Associate/Mid-Level,22-28,Full-time,-
1548,Berlin,Data Consultant,Associate/Mid-Level,22-28,Full-time,-
1549,Oldenburg,Business Intelligence (BI),Associate/Mid-Level,15-21,Full-time,-
1550,Berlin,Data Consultant,Associate/Mid-Level,22-28,Full-time,Python
1551,Berlin,AI/ML Specialist,Associate/Mid-Level,22-28,Full-time,Python
1552,Hoisdorf,Data Consultant,Senior,22-28,Full-time,-
1553,Nürnberg,Other,Associate/Mid-Level,15-21,Full-time,-
1554,München,Other,Senior,22-28,Full-time,-
1555,Berlin,Machine Learning Engineer,Senior,0-7,Full-time,Python
1556,Monheim am Rhein,Other,Senior,0-7,Full-time,Python
1557,München,Data Engineer,Senior,0-7,Full-time,Python
1558,Berlin,Data Engineer,Senior,0-7,Full-time,Python
1560,Bielefeld,Data Analyst,Senior,0-7,Full-time,Python
1561,Rheda-Wiedenbrück,Other,Senior,8-14,Full-time,-
1562,Deutschland,Other,Associate/Mid-Level,0-7,Full-time,-
1563,Deutschland,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,-
1564,Unterschleißheim,Data Engineer,Senior,0-7,Full-time,Python
1565,Traunreut,Business Intelligence (BI),Senior,0-7,Full-time,-
1566,Bargteheide,Business Intelligence (BI),Senior,8-14,Full-time,-
1567,Berlin,Machine Learning Engineer,Senior,8-14,Full-time,Python
1568,Düsseldorf,Data Engineer,Senior,8-14,Full-time,Python
1569,München,Data Engineer,Senior,8-14,Full-time,Python
1570,Münster,Data Engineer,Senior,8-14,Full-time,-
1571,Bremen,Other,Associate/Mid-Level,8-14,Full-time,Python
1572,Deutschland,Data Consultant,Senior,15-21,Full-time,-
1573,Wiesbaden,Other,Senior,8-14,Full-time,Python
1574,Hamburg,Data Engineer,Senior,15-21,Full-time,Python
1575,Berlin,Data Engineer,Senior,8-14,Full-time,Python
1576,Berlin,Data Consultant,Senior,15-21,Full-time,-
1577,Berlin,Data Consultant,Senior,15-21,Full-time,-
1578,Augsburg,Data Consultant,Senior,15-21,Full-time,-
1579,Aachen,Data Consultant,Senior,15-21,Full-time,-
1580,Berlin,Data Engineer,Senior,22-28,Full-time,Python
1581,Garching,Other,Associate/Mid-Level,8-14,Full-time,-
1582,Dortmund,Other,Associate/Mid-Level,0-7,Full-time,Python
1583,Stuttgart,Other,Associate/Mid-Level,0-7,Full-time,-
1584,Bochum,Other,Associate/Mid-Level,8-14,Full-time,-
1585,Jena,Other,Associate/Mid-Level,15-21,Full-time,Python
1586,Köln,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,Python
1588,Duisburg,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,-
1589,Westerstede,Other,Associate/Mid-Level,0-7,Full-time,-
1590,Hamburg,Research Scientist,Associate/Mid-Level,8-14,Full-time,-
1591,Berlin,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,-
1592,Taufkirchen,Machine Learning Engineer,Associate/Mid-Level,0-7,Full-time,Python
1593,München,Data Consultant,Associate/Mid-Level,0-7,Full-time,-
1595,Bielefeld,Data Consultant,Senior,0-7,Full-time,Python
1598,Berlin,Data Analyst,Associate/Mid-Level,0-7,Full-time,Python
1599,Berlin,AI/ML Specialist,Associate/Mid-Level,8-14,Full-time,-
1600,Bonn,Business Intelligence (BI),Associate/Mid-Level,8-14,Full-time,-
1601,Nürnberg,Data Consultant,Senior,8-14,Full-time,-
1602,Mainz,Data Engineer,Senior,8-14,Full-time,Python
1603,Berlin,Research Scientist,Associate/Mid-Level,8-14,Full-time,-
1604,Mannheim,Other,Associate/Mid-Level,8-14,Full-time,-
1605,Berlin,Other,Associate/Mid-Level,8-14,Full-time,-
1606,Hannover,Other,Associate/Mid-Level,8-14,Full-time,-
1607,Leipzig,Data Consultant,Associate/Mid-Level,15-21,Full-time,-
1608,Köln,Data Engineer,Associate/Mid-Level,15-21,Full-time,Python
1609,Ilmenau,Other,Associate/Mid-Level,15-21,Full-time,-
1610,Seligenstadt,Other,Associate/Mid-Level,15-21,Full-time,-
1613,Berlin,Other,Associate/Mid-Level,0-7,Full-time,-
1614,Berlin,Data Engineer,Senior,0-7,Full-time,-
1616,München,Machine Learning Engineer,Senior,8-14,Full-time,Python
1617,München,Data Engineer,Senior,8-14,Full-time,Python
1618,Großenlüder,Data Engineer,Senior,8-14,Full-time,Python
1619,Münchberg,Data Engineer,Senior,8-14,Full-time,Python
1620,München,Machine Learning Engineer,Senior,8-14,Full-time,-
1621,München,Other,Associate/Mid-Level,0-7,Full-time,-
1622,Dresden,Other,Associate/Mid-Level,8-14,Full-time,-
1623,München,Other,Senior,8-14,Full-time,Python
1624,München,Other,Senior,0-7,Full-time,-
57,Deutschland,Data Scientist,Senior,15-21,Full-time,Python
59,Hamburg,Research Scientist,Associate/Mid-Level,15-21,Full-time,Python
78,Hamburg,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
82,Deutschland,AI/ML Specialist,Associate/Mid-Level,0-7,Full-time,-
86,Karlsruhe,Data Scientist,Associate/Mid-Level,29+,Full-time,Python
91,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,-
120,Weikersheim,Data Scientist,Entry level,29+,Full-time,-
191,Berlin,Data Analyst,Associate/Mid-Level,8-14,Full-time,Python
213,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Full-time,-
250,Berlin,Other,Senior,29+,Full-time,Python
293,Hamburg,Data Scientist,Entry level,29+,Full-time,Python
312,Bonn,Other,Associate/Mid-Level,29+,Full-time,Python
316,Dresden,Data Scientist,Director,8-14,Full-time,Python
347,Deutschland,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
372,München,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
380,Frankfurt am Main,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
388,München,Machine Learning Engineer,Associate/Mid-Level,29+,Full-time,Python
395,Erlangen,Data Scientist,Senior,0-7,Full-time,-
408,Leipzig,Business Intelligence (BI),Associate/Mid-Level,22-28,Full-time,Python
411,Berlin,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
421,Coburg,Machine Learning Engineer,Senior,0-7,Full-time,Python
530,Straubing,Data Analyst,Associate/Mid-Level,8-14,Full-time,-
549,Hamburg,Data Scientist,Director,15-21,Full-time,Python
562,Berlin,Other,Entry level,29+,-,Python
582,Weinheim,Data Scientist,Associate/Mid-Level,0-7,Full-time,Python
638,Darmstadt,AI/ML Specialist,Associate/Mid-Level,29+,Full-time,-
727,Frankfurt am Main,Data Scientist,Senior,0-7,Full-time,-
736,Hamburg,Data Engineer,Associate/Mid-Level,8-14,Full-time,Python
798,Aachen,Other,Associate/Mid-Level,N/A,Full-time,Python
957,Bochum,Data Scientist,Senior,0-7,Full-time,Python
987,Coburg,Machine Learning Engineer,Senior,N/A,Full-time,Python
1596,Köln,Data Consultant,Associate/Mid-Level,8-14,Full-time,-
1611,Luxembourg,Other,Director,0-7,Full-time,-
20,Freiburg,Other,Entry level,0-7,Part-time,-
64,München,Data Scientist,Entry level,29+,Part-time,-
76,Hamburg,Data Scientist,Associate/Mid-Level,0-7,-,Julia
93,Weil am Rhein,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
104,Deutschland,Data Scientist,Associate/Mid-Level,22-28,Part-time,-
131,Berlin,Data Analyst,Entry level,15-21,Part-time,-
141,Berlin,Machine Learning Engineer,Entry level,29+,Part-time,Julia
150,Darmstadt,AI/ML Specialist,Entry level,15-21,Part-time,-
183,Köln,AI/ML Specialist,Entry level,8-14,Part-time,-
192,Deutschland,Data Scientist,Associate/Mid-Level,15-21,Part-time,-
200,Deutschland,Data Scientist,Entry level,15-21,Part-time,-
210,Darmstadt,Other,Entry level,0-7,Part-time,-
215,München,Data Scientist,Entry level,29+,Part-time,-
217,Hannover,Data Scientist,Entry level,29+,-,Julia
234,Deutschland,Data Scientist,Associate/Mid-Level,15-21,Part-time,-
275,Hannover,Data Scientist,Entry level,0-7,-,Julia
279,Berlin,Data Scientist,Director,0-7,Part-time,-
299,Hamburg,Data Scientist,Senior,0-7,-,Julia
305,Karlsruhe,Machine Learning Engineer,Entry level,15-21,Part-time,-
309,München,Other,Entry level,15-21,Part-time,-
321,Berlin,Research Scientist,Associate/Mid-Level,15-21,Part-time,-
341,München,Data Scientist,Senior,29+,Part-time,-
348,Ilmenau,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
358,Frankfurt am Main,Other,Entry level,0-7,Part-time,-
369,Nürnberg,Data Scientist,Associate/Mid-Level,22-28,Part-time,-
379,Berlin,Other,Entry level,0-7,Part-time,-
399,Stuttgart,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
401,Clausthal-Zellerfeld,Research Scientist,Associate/Mid-Level,8-14,Part-time,-
414,Berlin,Other,Associate/Mid-Level,29+,Part-time,-
420,München,AI/ML Specialist,Entry level,29+,Part-time,-
437,Hannover,Data Scientist,Associate/Mid-Level,8-14,-,Julia
445,Berlin,Business Intelligence (BI),Associate/Mid-Level,8-14,Part-time,-
461,Deutschland,AI/ML Specialist,Entry level,8-14,Part-time,-
473,Heilbronn,Other,Entry level,15-21,Part-time,-
493,Köln,Data Scientist,Entry level,29+,Part-time,-
496,Hamburg,Other,Entry level,15-21,Part-time,-
501,Karlsruhe,Machine Learning Engineer,Entry level,22-28,Part-time,-
513,Karlsruhe,Machine Learning Engineer,Entry level,22-28,Part-time,-
528,Berlin,Other,Entry level,8-14,Part-time,-
538,Zweibrücken,Other,Associate/Mid-Level,15-21,Part-time,-
554,Attenkirchen,AI/ML Specialist,Entry level,29+,Part-time,-
561,Bonn,Data Scientist,Senior,22-28,Part-time,-
564,Hannover,Business Intelligence (BI),Associate/Mid-Level,0-7,Part-time,-
578,München,Other,Entry level,0-7,Part-time,-
588,München,Data Scientist,Entry level,29+,Part-time,-
591,München,Other,Entry level,8-14,Part-time,-
594,Kempten,Data Scientist,Entry level,29+,-,Julia
632,München,AI/ML Specialist,Entry level,15-21,Part-time,-
641,Kempten,Data Scientist,Entry level,29+,Part-time,Julia
698,Berlin,Other,Entry level,15-21,Part-time,-
714,Deutschland,Business Intelligence (BI),Entry level,29+,Part-time,-
717,Karlsruhe,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
753,Deutschland,Data Analyst,Associate/Mid-Level,15-21,Part-time,-
779,Büren,Business Intelligence (BI),Entry level,22-28,-,Julia
801,Neuherberg,Data Scientist,Associate/Mid-Level,N/A,Part-time,-
810,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
819,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
822,Schwäbisch Gmünd,Data Scientist,Associate/Mid-Level,N/A,Part-time,-
825,Köln,Data Scientist,Entry level,N/A,Part-time,-
831,Starnberg,Data Scientist,Associate/Mid-Level,N/A,-,Julia
865,Karlsruhe,Data Scientist,Associate/Mid-Level,N/A,Part-time,-
877,Berlin,Data Analyst,Associate/Mid-Level,0-7,Part-time,-
878,München,Data Scientist,Entry level,0-7,Part-time,-
879,Stuttgart,Data Scientist,Senior,N/A,Part-time,-
890,Hamburg,Data Scientist,Senior,N/A,-,Julia
895,Zeuthen,Other,Associate/Mid-Level,N/A,Part-time,-
901,Bremen,Data Scientist,Associate/Mid-Level,N/A,Part-time,-
909,Deutschland,Data Scientist,Senior,N/A,-,Julia
912,Hamburg,Data Scientist,Senior,N/A,Part-time,-
923,Duisburg,Data Scientist,Senior,0-7,Part-time,-
929,Oberschleißheim,Other,Associate/Mid-Level,N/A,Part-time,-
932,Hamburg,Data Scientist,Director,N/A,Part-time,-
942,Berlin,Data Scientist,Associate/Mid-Level,15-21,Part-time,-
944,Köln,Data Analyst,Associate/Mid-Level,N/A,Part-time,-
948,Martinsried,Other,Senior,N/A,Part-time,-
951,Wiesbaden,Data Scientist,Associate/Mid-Level,N/A,Part-time,-
961,Biberach an der Riß,Data Scientist,Postdoc,N/A,-,Julia
978,Mülheim an der Ruhr,Data Engineer,Senior,N/A,Part-time,-
984,Kiel,Other,Postdoc,N/A,Part-time,-
986,Wuppertal,Other,Director,N/A,Part-time,-
990,Dortmund,Other,Postdoc,8-14,Part-time,-
998,Rust,Business Intelligence (BI),Associate/Mid-Level,8-14,Part-time,-
1007,Hamburg,Data Scientist,Senior,N/A,Part-time,-
1016,Oberkochen,Other,Associate/Mid-Level,N/A,Part-time,-
1018,Düsseldorf,Other,Senior,N/A,Part-time,-
1025,München,Machine Learning Engineer,Entry level,N/A,Part-time,-
1046,Hamburg,Other,Postdoc,0-7,Part-time,-
1056,Oberkochen,Other,Associate/Mid-Level,N/A,Part-time,-
1057,Berlin,Other,Senior,N/A,Part-time,-
1061,Hamburg,Other,Senior,N/A,Part-time,-
1063,Frankfurt am Main,Other,Senior,N/A,Part-time,-
1064,München,Other,Senior,N/A,Part-time,-
1067,Berlin,Other,Associate/Mid-Level,N/A,Part-time,-
1068,Münster,Other,Postdoc,N/A,Part-time,-
1069,Stuttgart,Other,Associate/Mid-Level,N/A,Part-time,-
1093,Hannover,Data Scientist,Senior,N/A,Part-time,-
1128,Martinsried,Other,Associate/Mid-Level,N/A,Part-time,-
1141,Berlin,Data Scientist,Senior,N/A,-,Julia
1145,Berlin,Data Scientist,Associate/Mid-Level,22-28,Part-time,-
1157,Mannheim,Data Scientist,Associate/Mid-Level,N/A,Part-time,-
1165,Bad Gandersheim,Data Analyst,Associate/Mid-Level,N/A,Part-time,-
1233,Aalen,Other,Associate/Mid-Level,N/A,Part-time,-
1240,Rosenheim,Data Scientist,Associate/Mid-Level,N/A,-,Julia
1247,Puchheim,Machine Learning Engineer,Entry level,N/A,Part-time,-
1278,Karlsruhe,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
1280,Krefeld,Data Scientist,Associate/Mid-Level,0-7,Part-time,Julia
1285,München,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
1302,Bremen,Data Scientist,Entry level,8-14,Part-time,-
1306,Berlin,Data Scientist,Associate/Mid-Level,8-14,Part-time,-
1308,Hannover,Data Scientist,Entry level,0-7,-,Julia
1316,Stuttgart,Data Scientist,Associate/Mid-Level,0-7,Part-time,-
1317,Stuttgart,Data Scientist,Senior,0-7,Part-time,-
1329,Berlin,Data Scientist,Senior,15-21,Part-time,-
1337,Osnabrück,Data Scientist,Entry level,0-7,Part-time,-
1346,Düsseldorf,Other,Entry level,0-7,Part-time,-
1358,Frankfurt am Main,Other,Associate/Mid-Level,0-7,Part-time,-
1362,Hannover,Other,Associate/Mid-Level,8-14,Part-time,-
1363,Stuttgart,Data Scientist,Entry level,0-7,Part-time,-
1364,Ahrensburg,Other,Associate/Mid-Level,8-14,Part-time,-
1365,Dortmund,Other,Associate/Mid-Level,8-14,-,Julia
1372,Düsseldorf,Other,Associate/Mid-Level,8-14,Part-time,-
1377,Hannover,AI Engineer,Associate/Mid-Level,0-7,Part-time,-
1382,St. Leon-Rot,Data Scientist,Senior,0-7,Part-time,-
1386,München,Data Scientist,Senior,0-7,Part-time,-
1396,Ludwigshafen,Other,Senior,8-14,Part-time,-
1397,Ludwigshafen,Data Scientist,Senior,8-14,Part-time,-
1405,Hamburg,Other,Associate/Mid-Level,8-14,Part-time,-
1406,Aachen,Other,Associate/Mid-Level,0-7,Part-time,-
1415,Augsburg,Business Intelligence (BI),Entry level,0-7,Part-time,-
1417,Augsburg,Other,Entry level,0-7,Part-time,-
1418,München,Business Intelligence (BI),Entry level,0-7,Part-time,-
1419,München,Other,Entry level,0-7,Part-time,-
1420,München,Other,Entry level,0-7,Part-time,-
1421,Augsburg,Other,Entry level,0-7,Part-time,-
1423,Jena,Other,Associate/Mid-Level,8-14,Part-time,-
1424,Augsburg,Other,Entry level,8-14,Part-time,-
1425,München,Other,Entry level,8-14,Part-time,-
1426,München,Other,Entry level,8-14,Part-time,-
1427,Augsburg,Other,Entry level,8-14,Part-time,-
1428,Augsburg,Other,Entry level,8-14,Part-time,-
1429,Augsburg,Other,Entry level,8-14,Part-time,-
1433,Augsburg,Other,Entry level,0-7,Part-time,-
1434,Berlin,Other,Entry level,8-14,Part-time,-
1453,Schweinfurt,Other,Associate/Mid-Level,0-7,Part-time,-
1466,Frankfurt am Main,Business Intelligence (BI),Associate/Mid-Level,0-7,Part-time,-
1468,Köln,Data Analyst,Associate/Mid-Level,0-7,Part-time,-
1469,München,Data Consultant,Associate/Mid-Level,0-7,Part-time,-
1473,Neuss,Machine Learning Engineer,Entry level,0-7,Part-time,-
1476,Köln,Other,Associate/Mid-Level,0-7,Part-time,-
1499,Frankfurt am Main,Other,Associate/Mid-Level,8-14,Part-time,-
1500,Hannover,Data Analyst,Associate/Mid-Level,8-14,Part-time,-
1503,Frankfurt am Main,Other,Associate/Mid-Level,8-14,Part-time,-
1504,Bremen,Data Analyst,Senior,8-14,Part-time,-
1512,Berlin,Business Intelligence (BI),Associate/Mid-Level,8-14,Part-time,-
1514,Berlin,Data Consultant,Associate/Mid-Level,8-14,Part-time,-
1517,Stuttgart,Other,Associate/Mid-Level,8-14,Part-time,-
1522,Bremen,Other,Associate/Mid-Level,8-14,Part-time,-
1523,Berlin,Machine Learning Engineer,Associate/Mid-Level,15-21,Part-time,-
1526,Gladbeck,Other,Associate/Mid-Level,15-21,Part-time,-
1537,Bremen,Other,Associate/Mid-Level,8-14,Part-time,-
1558,Berlin,Data Engineer,Senior,0-7,Part-time,-
1567,Berlin,Machine Learning Engineer,Senior,8-14,Part-time,-
1571,Bremen,Other,Associate/Mid-Level,8-14,Part-time,-
1574,Hamburg,Data Engineer,Senior,15-21,Part-time,-
1605,Berlin,Other,Associate/Mid-Level,8-14,Part-time,-
957,Bochum,Data Scientist,Senior,0-7,Part-time,Julia
7,Coburg,Machine Learning Engineer,Entry level,22-28,Permanent,-
25,Frankfurt am Main,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
43,Berlin,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
88,Essen,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
95,Dresden,Data Scientist,Associate/Mid-Level,15-21,Permanent,-
153,Würzburg,Other,Associate/Mid-Level,29+,Permanent,-
154,Fellbach,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
188,Coburg,Machine Learning Engineer,Senior,0-7,Permanent,-
251,Coburg,Other,Senior,22-28,Permanent,-
283,Deutschland,Data Analyst,Senior,29+,-,SPSS
317,Düsseldorf,Data Scientist,Associate/Mid-Level,15-21,Permanent,-
341,München,Data Scientist,Senior,29+,Permanent,-
369,Nürnberg,Data Scientist,Associate/Mid-Level,22-28,Permanent,-
416,Köln,Machine Learning Engineer,Associate/Mid-Level,15-21,Permanent,-
425,Dortmund,Data Analyst,Associate/Mid-Level,15-21,Permanent,-
426,Weinheim,Research Scientist,Associate/Mid-Level,0-7,-,SPSS
449,Potsdam,Data Engineer,Senior,0-7,Permanent,-
459,Stuttgart,Other,Associate/Mid-Level,15-21,-,SPSS
460,Mülheim an der Ruhr,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
556,Berlin,Data Scientist,Associate/Mid-Level,29+,Permanent,-
565,Fellbach,Data Analyst,Associate/Mid-Level,22-28,-,SPSS
585,München,Data Scientist,Associate/Mid-Level,29+,Permanent,-
606,Hamburg,Data Scientist,Associate/Mid-Level,15-21,Permanent,-
659,Frankfurt am Main,Data Scientist,Associate/Mid-Level,29+,Permanent,-
689,Nürnberg,Data Scientist,Associate/Mid-Level,29+,Permanent,-
706,Hamburg,Data Scientist,Associate/Mid-Level,29+,Permanent,-
734,Stuttgart,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
755,Stuttgart,Data Scientist,Associate/Mid-Level,29+,Permanent,-
810,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
812,Königstein im Taunus,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
815,Hamburg,Other,Entry level,N/A,Permanent,-
819,Hamburg,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
824,Aachen,Data Scientist,Entry level,N/A,Permanent,-
831,Starnberg,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
848,Damme,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
858,Siegburg,Data Scientist,Senior,15-21,Permanent,-
871,Rosenberg,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
872,München,Data Scientist,Senior,15-21,Permanent,-
873,Hannover,Data Scientist,Senior,N/A,Permanent,-
875,Mülheim an der Ruhr,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
877,Berlin,Data Analyst,Associate/Mid-Level,0-7,Permanent,SPSS
881,München,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
887,Gütersloh,Data Scientist,Senior,8-14,Permanent,-
896,München,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
899,Frankfurt am Main,Data Scientist,Senior,0-7,Permanent,-
903,Gütersloh,Data Scientist,Senior,8-14,Permanent,-
905,Stuttgart,Data Scientist,Senior,0-7,Permanent,-
908,Hameln,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
912,Hamburg,Data Scientist,Senior,N/A,Permanent,-
913,Düsseldorf,Data Scientist,Senior,15-21,Permanent,-
915,Paderborn,Data Scientist,Senior,N/A,Permanent,-
922,Hannover,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
923,Duisburg,Data Scientist,Senior,0-7,Permanent,-
927,Bielefeld,Data Analyst,Senior,N/A,Permanent,-
932,Hamburg,Data Scientist,Director,N/A,Permanent,-
941,Berlin,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
942,Berlin,Data Scientist,Associate/Mid-Level,15-21,Permanent,-
944,Köln,Data Analyst,Associate/Mid-Level,N/A,Permanent,-
945,München,Data Analyst,Associate/Mid-Level,N/A,Permanent,SPSS
950,Bremen,Data Scientist,Senior,8-14,Permanent,-
963,Stuttgart,Machine Learning Engineer,Associate/Mid-Level,N/A,Permanent,-
964,Würzburg,Data Scientist,Senior,N/A,Permanent,-
966,Bad Homburg vor der Höhe,Data Engineer,Associate/Mid-Level,N/A,Permanent,-
990,Dortmund,Other,Postdoc,8-14,Permanent,-
995,München,Data Scientist,Senior,N/A,Permanent,-
996,Bonn,Data Scientist,Senior,N/A,Permanent,-
998,Rust,Business Intelligence (BI),Associate/Mid-Level,8-14,Permanent,-
1002,Frankfurt am Main,Data Scientist,Senior,N/A,Permanent,-
1005,Berlin,Data Scientist,Senior,N/A,Permanent,-
1007,Hamburg,Data Scientist,Senior,N/A,Permanent,-
1012,Essen,Data Scientist,Senior,N/A,Permanent,-
1026,Rust,Business Intelligence (BI),Associate/Mid-Level,N/A,Permanent,-
1028,München,Research Scientist,Associate/Mid-Level,N/A,Permanent,-
1029,Hamburg,Data Scientist,Senior,N/A,Permanent,-
1039,Trittau,Other,Associate/Mid-Level,N/A,Permanent,-
1041,Schwarzenbruck,Other,Associate/Mid-Level,N/A,Permanent,-
1047,Frankfurt am Main,Other,Postdoc,N/A,Permanent,-
1053,Bad Nauheim,Other,Associate/Mid-Level,0-7,Permanent,-
1071,Frankfurt am Main,Machine Learning Engineer,Senior,N/A,Permanent,-
1074,Bonn,Machine Learning Engineer,Senior,N/A,Permanent,-
1093,Hannover,Data Scientist,Senior,N/A,Permanent,-
1094,Sankt Augustin,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1103,Erlangen,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1106,Obertshausen,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1111,Dortmund,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
1126,Berlin,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1145,Berlin,Data Scientist,Associate/Mid-Level,22-28,Permanent,-
1148,München,Data Scientist,Senior,N/A,Permanent,-
1157,Mannheim,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1168,Deutschland,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1174,Heidelberg,Data Engineer,Entry level,0-7,Permanent,-
1177,Frankfurt am Main,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1178,Hanau,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1181,Ludwigshafen,Research Scientist,Director,15-21,Permanent,-
1191,Hamburg,Data Analyst,Senior,N/A,Permanent,-
1215,München,Data Scientist,Senior,8-14,Permanent,-
1219,Offenbach,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1222,München,Data Engineer,Senior,8-14,Permanent,-
1225,Eschborn,Data Scientist,Senior,22-28,Permanent,-
1232,Frankfurt am Main,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1233,Aalen,Other,Associate/Mid-Level,N/A,Permanent,-
1235,Langenselbold,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1236,Maintal,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1248,Mühlheim am Main,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1257,Obertshausen,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1259,Rodgau,Data Scientist,Associate/Mid-Level,N/A,Permanent,-
1265,Deutschland,Data Scientist,Senior,N/A,Permanent,-
1280,Krefeld,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1281,Münster,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1285,München,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1291,Düsseldorf,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
1293,Deutschland,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
1294,Wiesbaden,Data Scientist,Senior,0-7,Permanent,-
1296,Unterföhring,Data Scientist,Entry level,0-7,Permanent,-
1297,Koblenz,Data Scientist,Entry level,0-7,Permanent,-
1299,Berlin,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
1301,Kassel,Data Scientist,Associate/Mid-Level,15-21,Permanent,-
1306,Berlin,Data Scientist,Associate/Mid-Level,8-14,Permanent,-
1310,Stuttgart,Data Scientist,Senior,0-7,Permanent,-
1311,Berlin,Data Scientist,Senior,0-7,Permanent,-
1312,Berlin,Data Scientist,Associate/Mid-Level,22-28,Permanent,-
1313,Berlin,Data Scientist,Senior,0-7,Permanent,-
1315,Hamburg,Data Consultant,Associate/Mid-Level,0-7,Permanent,-
1316,Stuttgart,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1317,Stuttgart,Data Scientist,Senior,0-7,Permanent,-
1318,Bielefeld,Data Analyst,Senior,0-7,Permanent,-
1323,Coesfeld-Lette,Data Scientist,Senior,8-14,Permanent,-
1324,Düsseldorf,Data Scientist,Senior,8-14,Permanent,-
1325,Düsseldorf,Data Scientist,Entry level,8-14,Permanent,-
1329,Berlin,Data Scientist,Senior,15-21,Permanent,-
1330,Berlin,Data Scientist,Senior,22-28,Permanent,-
1332,Remscheid,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1333,Berlin,Data Scientist,Director,0-7,Permanent,-
1334,Frankfurt am Main,Data Scientist,Senior,0-7,Permanent,-
1335,Deutschland,Data Scientist,Associate/Mid-Level,0-7,Permanent,-
1336,Köln,Other,Senior,0-7,Permanent,-
1337,Osnabrück,Data Scientist,Entry level,0-7,Permanent,-
